name,address1,address2,city,state,zipcode,country,contact_info,email,reg_no,descriptions
Perniagaan Jaya Pemborong Telor Dan Ejen Penglori,"4366-C, Jalan Kebun Sultan "," ",Kota Baru,Kelantan,15350,Malaysia,"Tel. 09-7483108,012-9835050 Fax. ",,KT0056975-V,"GST No. 001724293120 "
Kek Brothers Farm,,,K.kangsar,Perak,33000,Malaysia,,,-,
Linggi Poultry Farm (m) Sdn Bhd,,,Seremban,Negeri Sembilan,71300,Malaysia,,,56385-d,
Woon Hing Poultry Farm,,,Langkap,Perak,36700,Malaysia,,,-,
Liang Kee Oil Palm Estate Sdn. Bhd.,"No.1, Lorong Market "," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Weng Choy,,,,Perak,31700,Malaysia,,,,
M & A Securities Sdn Bhd,"M & A Building , 52a Jalan Sultan Idris Shah "," ",Ipoh,Perak,30000,Malaysia,"Tel.  Fax. ",,15017-h,"GST No.  "
Ipoh Agri Farming,,,Ipoh,Perak,31350,Malaysia,,,0061506-m,
Sunzen Corporation Sdn Bhd,,,Shan Alam,Selangor,40200,Malaysia,,,470468-w,
Lim Ah Hua & Sons Livestock Farm,,,Ayer Tawar,Perak,32400,Malaysia,,,-,
Sin Tatt Eggs Supplier Sdn. Bhd.,,,Alor Star,Kedah,5050,Malaysia,,,436159-u,
Inai Utama Sdn Bhd,,,Petaling Jaya,Selangor,47300,Malaysia,,,162208-p,
Chin Thean Poh,,,Ipoh,Perak,30020,Malaysia,,,,
Seng Cheong Eggs Distributor,,,Kamunting,Perak,34600,Malaysia,,,-,
Tham Khean Yee,,,Menglembu,Perak,31450,Malaysia,,,,
Ipoh International Feed (m) Sdn. Bhd.,,,Ipoh,Perak,30000,Malaysia,,,,
Koh Chin Lean Farmland Sdn. Bhd.,,,Sungai Siput (u),Perak,31100,Malaysia,,,-,
Cheong Kok Choy,"No.40,Laluan Pinji Seni 3, Taman Pinji Seni"," ",Ipoh,Perak,31650,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Chau Yang Farming Sdn. Bhd.,"Lot 43180, 14.5 Batu,  Jalan Parit"," ",Seputih,Perak,31560,Malaysia,"Tel.  Fax. ",,-,"GST No.  "
Ayam AA Enterprise Sdn. Bhd.,"No. 21, Jalan Chew Boon Juan (Off Jalan Kampar) "," ",Ipoh,Perak,30250,Malaysia,"Tel.  Fax. ",,-,"GST No.  "
Agro-Farmchem Sdn. Bhd.,No.12-2 Jalan SS 19/1G Sri Intan," ",Subang,Selangor,47500,Malaysia,"Tel.  Fax. ",,141198-t,"GST No.  "
CB Agri Trading,No.89 Jalan Pengasah 2 BT 3 1/2 Jalan Kapar," ",Klang,Selangor,41400,Malaysia,"Tel.  Fax. ",,001194833-a,"GST No.  "
Abel Vet Supplies & Services,"Lot 41, Laluan Industri 4 Kawasan Perindustrian ","Ringan Siputeh ","Siputeh, Ipoh",Perak,31560,Malaysia,"Tel.  Fax. ",,IPO227147-a,"GST No.  "
Hong Li Biotechnology Development Sdn. Bhd.,"No. 22,  Persiaran Pakatan Jaya 5, ","Taman Pakatan Jaya, ","Ulu Kinta, Ipoh",Perak,31150,Malaysia,"Tel.  Fax. ",,952474-v,"GST No.  "
Nam Sun Farm Sdn. Bhd.,"Lot 46231,  Bemban N/v"," ",Batu Gajah,Perak,31000,Malaysia,"Tel.  Fax. ",,-,"GST No.  "
Chong Ah Kow Farm Sdn. Bhd.,"Lot 178,  Changkat Kinding N.v."," ",Tg. Rambutan,Perak,31250,Malaysia,"Tel.  Fax. ",,-,"GST No.  "
Chin Leong Thye Sdn. Bhd.,,,Bukit Pelandok,Negeri Sembilan,71960,Malaysia,,,-,
Mua Hin Farm Sdn. Bhd.,,,Kampar,Perak,31900,Malaysia,,,-,
Cheng Wat Enterprise,,,Masjid Tanah,Melaka,78300,Malaysia,,,-,
Eho Farming Sdn. Bhd.,,,Bidor,Perak,35500,Malaysia,,,954086-t,
Public Husbandry Sdn. Bhd.,"81,Golden Dragon Garden Kampar"," ",,Perak,31900,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Great Wall Nutrition Technologies Sdn Bhd,"Plo 511,jalan Keluli,pasir Gudang Industrial Area "," ",Pasir Gudang,Johor,81700,Malaysia,"Tel.  Fax. ",,202033-t,"GST No. 000448786432 "
Yenher Agro-products Sdn. Bhd.,"Lot 7622,7624,7625,mukim 15,jalan Iks Simpang Ampat 1, "," ","Simpang Ampat,s.p.s",Penang,14000,Malaysia,"Tel.  Fax. ",,222455-p,"GST No. 001422540800 "
Stalleng (m) Sdn. Bhd.,"No. 22, Jalan Penyair U1/44, Temasya Industrial Park "," ",Shah Alam,Selangor,40150,Malaysia,"Tel.  Fax. ",,408941-x,"GST No. 000734281728 "
Danberg (M) Sdn Bhd,"Lot 1, Jalan Bursa 23/4 Seksyen 23"," ",Shah Alam,Selangor,40000,Malaysia,"Tel.  Fax. ",,058493-a,"GST No. 001346535424 "
Wong Brothers Trading Co.,"No. 78-80, Main Road "," Ulu Yam Baru",Ulu Selangor,Selangor,44300,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Tong Shan Farming Sdn. Bhd.,"No.3, Taman Bayan "," Bukit Pelandok",Port Dickson,Negeri Sembilan,71960,Malaysia,"Tel.  Fax. ",,700297-w,"GST No. 001180893184 "
Lintrachem Enterprise Sdn Bhd,"No 21 & 23, Jalan Ts6/10a, T Industri Subang "," ",Subang Jaya,Selangor,47510,Malaysia,"Tel.  Fax. ",,95682-W,"GST No. 000415391744 "
Soon Tuck Hin Poultry Farm,"22, Jln Persiaran 4,  Taman Bunga Raya"," ",Chemor,Perak,31200,Malaysia,"Tel.  Fax. ",,000200483-V,"GST No.  "
Winghin Agricultural Farm Sdn. Bhd.,"Lot 162,  Chuan Nam Park"," ",Langkap,Perak,36700,Malaysia,"Tel.  Fax. ",,322849T,"GST No.  "
Perniagaan Roti & Kek Seri Kampar Jaya,"No 43 & 45 , Jalan Durian , Taman Kampar Jaya "," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,IP0160258-P,"GST No.  "
Chai Yang Poultry Farm & Fish Balls Dealer,W-11  Chan Nam Park," ",Langkap,Perak,36700,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Long Gay Poultry Farm,"35, Jalan Berapit Indah 2, Taman Berapit Indah"," ",Bukit Mertajam,Butterworth,14000,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Quah Foong Kin (KuenJie),"Seri Kampar Jaya "," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Tian Kee Chan,"1234, Jalan Satu "," Pasar Pinji",Ipoh,Perak,,Malaysia,"Tel.  Fax. ",,,"GST No.  "
FFM Berhad,"Pt 45125, Batu 15 1/2 PO Box 78"," Sungai Pelong",Sungai Buluh,Selangor,47000,Malaysia,"Tel.  Fax. ",,4878-K,"GST No.  "
Looi Kee,- -,- -,Bercham,Perak,-,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Kilang Kek Rasa Sedap,- -,- Seri Kampar Jaya,Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Gold Vision Confectionery Sdn. Bhd.,"32, Hala Rapat Baru 22,  Kawasan Perindustrian Kinta, Jalan Gopeng"," ",Ipoh,Perak,31350,Malaysia,"Tel.  Fax. ",,001166261w,"GST No.  "
SHH Marketing & Distribution Sdn. Bhd.,Lot 777 Kampung Changkat Daun," ",Sungai Bakap,Prai Selatan,14200,Malaysia,Tel. 04-5825415 Fax. 04-5823090,,,"GST No.  "
Agritech Enterprise Sdn Bhd,"No. 15&17, Jalan Teknologi 3/5A, Pusat Teknologi Sinar Damansara,","PJU 5, Kota Damansara, ",Petaling Jaya,Selangor,47810,Malaysia,Tel. 03-61436328 & 61433149 Fax. 03-61501682,,64988-P,"GST No.  "
Chang Ah Chee,- -,- -,Lawan Kuda,Perak,,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Ah Sam," "," ",Malim Nawar,Perak,31700,Malaysia,"Tel. 0175184945 Fax. ",,,"GST No.  "
Teh Kok Aun Trading,"No. 103, Hala Bercham Selatan 4, Lindungan Bercham Heights,"," ",Ipoh,Perak,31400,Malaysia,"Tel.  Fax. ",,,GST No.  016-4211592
Seafood Valley Enterprise,"61&63, Persara Bercham Timur 10, Kawasan Perindustrian Pinggir Bercham,"," ",Ipoh,Perak,31400,Malaysia,"Tel. 016-2014330,016-5934330,05-5362979 Fax. ",,,"GST No.  "
Kedai Runcit Rahmath,- -,- Seri Iskandar,Ipoh,Perak,,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Restoran Siong Chuan,- -,- -,Ipoh,Perak,-,Malaysia,"Tel.  Fax. ",,,"GST No.  "
"Loy Fatt ",- -,- -,Malim Nawar,Perak,31700,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Ah Lian,- -,- Menglembu,Ipoh,Perak,-,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Kim Sing Company,"Lot 7780, Jln Serdang Lama, Bt 12 1/2,  Serdang Lama,"," ",Seri Kembangan,Selangor Darul Ehsan,43300,Malaysia,"Tel.  Fax. ",,,"GST No.  03-89418878, 89416286, 89416289
fax : 03-89416285"
Keong Hun Trading,"No.20, Lorong 2, Taman Suria,"," ",Nibong Tebal,Pulau Pinang,14300,Malaysia,"Tel.  Fax. ",,IP0239433-H,"GST No.  "
Wong Kok Leng Meat Stall,"No. 2057,  Jalan Jinjang Aman 5, "," ","Jinjang Utara,",Kuala Lumpur,52000,Malaysia,"Tel. 03-62411996, 019-2105771, 012-6883042 Fax. ",,001409648-T,"GST No.  "
Sun Tong Seng Enterprise,"No.37, Ground Floor, Jalan Raja Musa Aziz,"," ",Ipoh,Perak,30300,Malaysia,"Tel. 05-2545257,012-5151679,016-5603852 Fax. 05-2545257",melissa7@streamyx.com,IP0242032-K,"GST No.  Neoh Seng Hock
700314-08-5127
No.7, Perhiaran 4, Arena Kepayang Putra, Fair Park, 31400 Ipoh,Perak."
Great Dragon Nutritional Sdn. Bhd.,"NO. 2057, Jalan Jinjang Aman 5, "," Jinjang Utara,",,Kuala Lumpur,52000,Malaysia,"Tel. 03-62411996,019-2105771,0111-3309696,019-3859713 Fax. ",gdn96@outlook.com,1048894-D,"GST No.  "
Kheun Kee,"988, Jalan Pasir Pinji 10, -"," -",Ipoh,Perak,31650,Malaysia,"Tel.  Fax. ",,IP0072189-V,"GST No.  "
Yap Kok Foo,"No.189, 3, Taman Suntex, Batu 9"," ",Cheras,Selangor,43200,Malaysia,"Tel. 012-2770808,013-3680808 Fax. ",,,"GST No.  I/C No.: 770421-14-5453
Lorry No.: WTU7368"
Huat Ching Trading,"No. 862, Jalan 12 Kampung Valdor"," ",Sg Bakap,Pulau Pinang,14200,Malaysia,"Tel. 012-4312571,04-5820740 Fax. ",,PG0347122-P,"GST No.  "
K.I.S RESOURCES SDN. BHD.,"2A,USJ 4/6B, "," SUBANG JAYA",PETALING JAYA,SELANGOR,47600,Malaysia,Tel. 03-80243722/03-80233722 Fax. 03-80238622,,874970W,"GST No.  "
Chai Foo Choy," "," Malim Nawar",,,31700,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Ee Teck Ming Farm,"Pt 852, Tmn. Jimah Indah Kg Baru Site A"," ",Sepang,Selangor,43900,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Sai Ko Tin Farm,481 Kuala Kuang," ",Chemor,Perak,31200,Malaysia,"Tel.  Fax. ",,IP022466-P,"GST No. 001556353024 "
Koo For Cheong Poultry Farm Sdn Bhd,"No.6, Jalan Perak Jaya 3 Taman Perak Jaya"," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,IP1122959-D,"GST No.  "
Ngo Jun Teik,Batu 14 Jalan Segar," ",Pantai Remis,Perak,34900,Malaysia,"Tel.  Fax. ",,001947820X,"GST No. 000520241152 "
Progress Bio Pharma Sdn Bhd,Lot 5016 Batu 4,Jalan Ayer Hitam Yong Peng,,Johor,83700,Malaysia,"Tel.  Fax. ",,490833-X,"GST No. 000796393472 "
"Hoe Seng Chan Co., Sdn. Bhd.","Lot 249, Kawasan Perindustrian Tangga Batu"," ",Melaka,,76400,Malaysia,"Tel.  Fax. ",,002884-X,"GST No. 001564737536 "
Sri Magjuta Sdn. Bhd.,"Batu 6 3/4, Off Jln Gopeng,"," ",Keramat Pulai,Perak,31300,Malaysia,"Tel. 05-3571315 Fax. ",,401254-A,"GST No. 000288980992 "
Sin Yew Lee Farm,"84, Dataran Tasek Timur 6, Taman Mujur,"," ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5485719 Fax. ",,IP0216159-V,"GST No. 000636989440 "
Siong Kee Poultry Farm Sdn Bhd,"3748 Jln Jalong,  Kampung Jalong"," ",Sungai Siput,Perak,31100,Malaysia,"Tel.  Fax. ",,910334-W,"GST No.  "
Hup Soon Frozen Food Sdn Bhd,"22-24,Dataran Kledang 4, Kawasan Perindustrian Chandan Raya"," ",Menglembu,"Ipoh,Perak",31450,Malaysia,"Tel.  Fax. ",,575263 M,"GST No.  "
Kok King Tiong,"Pt. 284, Kg. Muhibbah,"," ",Sg. Siput (U),Perak,31100,Malaysia,"Tel. 012-5179057 Fax. ",,IP0076968-V,"GST No.  "
Syarikat Perniagaan Chai Huat,"No.46 & 48 Jalan 17/32,","Taman Jinjang Baru ",,Kuala Lumpur,52000,Malaysia,"Tel. 03-62535186,012-9791866 Fax. 03-62512061",,000727136-P,"GST No. 001893277696 "
F & B (Frozen Meat) Distributors Sdn. Bhd.,"No.2, Persiaran Industri Lahat 1, Kawasan Perindustrian Rima,"," ",Lahat,Perak,31500,Malaysia,"Tel. 05-3213522 Fax. ",,1001512-D,"GST No.  "
Yu Hong Heng Trading,"PT 16, Taman Bukit Pelandok "," ",Port Dickson,Negeri Sembilan,71960,Malaysia,"Tel. 016-3631222 Fax. ",,NS0139606A,"GST No.  "
Suee Sun Seong Farm,"7, Persiaran Tasek Timur 5 Taman Medan Bercham"," -",Ipoh,Perak,31400,Malaysia,"Tel. 012-5287129 Fax. ",,IP0319014-H,GST No.  钟清水
Yeong Lai Foong,"145, Jalan Indah 4 Taman Perak Indah"," -",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,IP0421391-H,"GST No.  "
Lim Kok Chai Enterprise,"11, Lorong Melur 6,  Jalan Bagan Jermal,"," ",Butterworth,Pulau Pinang,12300,Malaysia,"Tel. 012-4788061 Fax. ",,001818044-U,"GST No.  "
Jia Huat Eggs Supplier,"25, Kimberly Street"," ","Georgetown,",Pulau Pinang,10100,Malaysia,"Tel. 017-5353611, 04-2617280 Fax. 04-2612052",,PC0004743-T,"GST No.  "
Sun Cheong Heng Brothers Sdn Bhd,SL 35 Kampung Coldstream," ",Bidor,Perak,35500,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Positive Insight Sdn. Bhd.,"21, Jalan Hujan Taman Overseas Union"," ",Kuala Lumpur,-,58200,Malaysia,Tel. 03-77828384 Fax. 03-77818561,positiveinsight@scc.com.my,1100136-D,GST No.  A wholly-owned subsidiary of SCC Corporation Sdn. Bhd.
LBS Aquaculture,Lot 9922 Kanthan Baru," ",Chemor,Perak,31200,Malaysia,"Tel.  Fax. ",,IP0298757-T,GST No.  GST:001228660736
Ct Square Marketing,"10f,  Taman Setia"," ",Sg. Petani,Kedah,8000,Malaysia,"Tel.  Fax. ",,Ip339177-x,"GST No. 001845747712 "
Nabel Asia Sdn Bhd,"Lot 43,jalan Delima 1/1,taman Perindustrian Subang Hi-tech,batu Tiga "," ",Shah Alam,Selangor,40000,Malaysia,"Tel.  Fax. ",,208735-m,"GST No. 00185939456 "
Agri Channel Sdn. Bhd.,"Pt 852, Tmn. Jimah Indah Kg Baru Site A"," ",Sepang,Selangor,43900,Malaysia,"Tel.  Fax. ",,735124-p,GST No. 001080336384 GST:001080336384
Chun Swee Loong Farm Sdn Bhd,"G-1,Taman Chit Loong "," ",Bidor,Perak,35500,Malaysia,"Tel.  Fax. ",,,"GST No. 000323862528 "
Kampar Heng Fatt Hardware Trading,"No.4  Jalan Idris,"," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4663634 Fax. ",,IP 0129599-U,"GST No. 000374685696 "
Ppm Sdn Bhd,"103, Jalan Veerasamy "," ",Ipoh,Perak,30300,Malaysia,"Tel. 05-2542171 Fax. ",,57445-H,"GST No.  "
Wilee Vegetable Oils Sdn Bhd,NO 2A JALAN USJ 4/6B,"USJ4 ",SUBANG  JAYA,SELANGOR,47620,Malaysia,"Tel.  Fax. ",,954412-H,"GST No. 001151328256 "
Ho Brothers Trading Company,Lot 11821 Batu 9 3/4,"Jalan Bercham ",Tanjung Rambutan,Perak,31250,Malaysia,Tel. 055332382 Fax. 055331411,,IP0018122-P,"GST No. 000267108352 "
Pusat Hawa Dingin & Aksesori Kereta Team Car,"No.131, Jalan Gopeng,"," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4660054 Fax. ",,IP0242534-U,"GST No. 000997560320 "
Choy Kee Motor Workshop,"10, Ground Floor, Wah Foo Building,","Jalan Dua,New Wah Loong ",Kampar,Perak,31900,Malaysia,"Tel. 012-5183163 Fax. ",,000124198-A,"GST No. 001345552384 "
Foh Hin Canvas Sdn Bhd,"56-58,Jalan Masjid(Hume St), "," ",Ipoh,Perak,30300,Malaysia,Tel. 05-2422682 Fax. 05-2540055,,790595-T,"GST No. 002104033280 "
Cumberland Sales & Services Sdn Bhd,"Plot 68, Lrg Perusahaan Maju 6,","Phase 4,Prai Ind Estate, ",Prai,Pulau Pinang,13600,Malaysia,Tel. 04-5083319 Fax. 04-5084876,,652922-D,"GST No. 001676255232 "
Autoria Sdn. Bhd.,Lot 13248 Jalan Raja Permaisuri Bainun,"Jalan Kampar ",Ipoh,Perak,30250,Malaysia,"Tel. 05-2551639 Fax. ",,206462-V,"GST No. 002083274752 "
